balloon,pumps,exploded,earned,rt,participant_id,session,task
0,5,False,25,9.691504699643701,118,1,BART
1,4,True,0,8.586428599897772,118,1,BART
2,5,False,25,6.797239300329238,118,1,BART
3,6,False,30,7.883610399905592,118,1,BART
4,7,True,0,5.681810799986124,118,1,BART
5,7,False,35,4.334734099917114,118,1,BART
6,4,True,0,5.228280900046229,118,1,BART
7,8,True,0,5.22530040005222,118,1,BART
8,4,True,0,2.1353891999460757,118,1,BART
9,4,False,20,4.393606400117278,118,1,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,5.4,,,,,,
爆炸率(%),50.0,,,,,,
总收益(¥),135,,,,,,
每个气球平均收益(¥),13.5,,,,,,
