trial,image,category,phase,valence,arousal,rating_rt,participant_id,session
0,7012.jpg,neutral,baseline,5.0,1.0,7.024084700002277,13,1
1,7017.jpg,neutral,baseline,4.0,1.0,5.882487099999707,13,1
2,7002.jpg,neutral,baseline,5.0,1.0,5.876835899998696,13,1
3,2840.jpg,neutral,baseline,7.0,2.0,7.381016299998009,13,1
4,5532.jpg,neutral,baseline,4.0,1.0,4.700724700000137,13,1
5,2050.jpg,positive,baseline,8.0,2.0,7.742371799999091,13,1
6,6212.jpg,negative,baseline,2.0,4.0,5.188527099999192,13,1
7,7000.jpg,neutral,baseline,5.0,1.0,5.177218699998775,13,1
8,2347.jpg,positive,baseline,8.0,5.0,3.852556400001049,13,1
9,2570.jpg,neutral,baseline,4.0,1.0,2.9434116000011272,13,1
10,3103.jpg,negative,baseline,2.0,3.0,6.072344100000919,13,1
11,3225.jpg,negative,baseline,1.0,4.0,4.6987010999982886,13,1
12,7009.jpg,neutral,baseline,6.0,2.0,7.142111899996962,13,1
13,3005.1.jpg,negative,baseline,1.0,5.0,3.1469319999996515,13,1
14,3180.jpg,negative,baseline,2.0,3.0,4.512291799997911,13,1
15,1750.jpg,positive,baseline,6.0,2.0,3.9224458999997296,13,1
16,1710.jpg,positive,baseline,9.0,6.0,3.794481100001576,13,1
17,1440.jpg,positive,baseline,7.0,5.0,2.9602897000004305,13,1
18,3530.jpg,negative,baseline,2.0,4.0,4.671191900000849,13,1
19,2703.jpg,negative,baseline,1.0,5.0,4.5406427000016265,13,1
20,2360.jpg,positive,baseline,8.0,4.0,3.276997899996786,13,1
21,3301.jpg,negative,baseline,2.0,5.0,3.6636111000007077,13,1
22,2332.jpg,positive,baseline,7.0,2.0,5.482871100000921,13,1
23,2091.jpg,positive,baseline,7.0,2.0,4.4054257000025245,13,1
24,6313.jpg,negative,baseline,1.0,7.0,2.8929649999990943,13,1
25,2340.jpg,positive,baseline,8.0,4.0,4.086139600000024,13,1
26,2311.jpg,positive,baseline,9.0,3.0,3.074844699996902,13,1
27,7004.jpg,neutral,baseline,5.0,2.0,4.056453799999872,13,1
28,1441.jpg,positive,baseline,6.0,2.0,3.934556500000326,13,1
29,1920.jpg,positive,baseline,7.0,3.0,3.24659039999824,13,1
30,3500.jpg,negative,baseline,2.0,5.0,3.3733533000013267,13,1
31,2209.jpg,positive,baseline,7.0,3.0,6.118907299998682,13,1
32,2101.jpg,neutral,baseline,2.0,4.0,4.261348799998814,13,1
33,2058.jpg,positive,baseline,6.0,2.0,3.930674100000033,13,1
34,3230.jpg,negative,baseline,3.0,3.0,4.173407099999167,13,1
35,2377.jpg,neutral,baseline,7.0,4.0,5.7920013000002655,13,1
36,6360.jpg,negative,baseline,1.0,7.0,3.545932699998957,13,1
37,2200.jpg,neutral,baseline,2.0,5.0,4.823225199997978,13,1
38,3195.jpg,negative,baseline,1.0,7.0,6.401721899997938,13,1
39,1460.jpg,positive,baseline,5.0,4.0,5.342745099998865,13,1
40,3350.jpg,negative,baseline,2.0,5.0,4.033452199997555,13,1
41,2205.jpg,negative,baseline,2.0,5.0,4.683273399998143,13,1
42,2800.jpg,negative,baseline,1.0,7.0,2.942066600000544,13,1
43,2154.jpg,positive,baseline,6.0,3.0,5.895787399997062,13,1
44,3030.jpg,negative,baseline,1.0,8.0,3.5910476999997627,13,1
45,1610.jpg,positive,baseline,7.0,3.0,3.9630676999986463,13,1
46,2530.jpg,positive,baseline,8.0,3.0,6.384573699997418,13,1
47,7018.jpg,neutral,baseline,5.0,2.0,3.7475001999991946,13,1
48,5510.jpg,neutral,baseline,5.0,2.0,3.030241799999203,13,1
49,2411.jpg,neutral,baseline,6.0,3.0,4.357489300000452,13,1
50,2540.jpg,positive,baseline,6.0,2.0,4.4040899999999965,13,1
51,2150.jpg,positive,baseline,4.0,4.0,3.6944445000008272,13,1
52,6350.jpg,negative,baseline,1.0,6.0,3.8558417999993253,13,1
53,7003.jpg,neutral,baseline,5.0,1.0,5.165141299999959,13,1
54,2095.jpg,negative,baseline,1.0,8.0,3.6209745000014664,13,1
55,7006.jpg,neutral,baseline,5.0,2.0,3.6480827999985195,13,1
56,2393.jpg,neutral,baseline,5.0,2.0,3.4059501999981876,13,1
57,3101.jpg,negative,baseline,2.0,6.0,4.774543800001993,13,1
58,2749.jpg,neutral,baseline,3.0,2.0,4.9573367000011785,13,1
59,5920.jpg,neutral,baseline,5.0,7.0,3.3242204999987734,13,1
0,6360.jpg,negative,regulation,1.0,5.0,6.078480100000888,13,1
1,3530.jpg,negative,regulation,2.0,5.0,6.948691900000995,13,1
2,2800.jpg,negative,regulation,2.0,5.0,6.9169547999990755,13,1
3,3225.jpg,negative,regulation,1.0,7.0,4.156891200000246,13,1
4,6313.jpg,negative,regulation,2.0,6.0,6.8070141000025615,13,1
5,3103.jpg,negative,regulation,1.0,5.0,3.089242699999886,13,1
6,3180.jpg,negative,regulation,2.0,6.0,5.435355900001014,13,1
7,2205.jpg,negative,regulation,3.0,5.0,5.968118900000263,13,1
8,2095.jpg,negative,regulation,2.0,6.0,4.334018900000956,13,1
9,3301.jpg,negative,regulation,2.0,6.0,4.918975299999147,13,1
10,3195.jpg,negative,regulation,1.0,6.0,3.595025999999052,13,1
11,3350.jpg,negative,regulation,2.0,5.0,3.9771079999991343,13,1
12,3500.jpg,negative,regulation,1.0,6.0,3.367704699998285,13,1
13,3101.jpg,negative,regulation,1.0,6.0,2.867125799999485,13,1
14,6212.jpg,negative,regulation,2.0,5.0,5.860429500000464,13,1
15,2703.jpg,negative,regulation,1.0,5.0,5.93399920000229,13,1
16,3030.jpg,negative,regulation,1.0,6.0,4.089078000000882,13,1
17,3230.jpg,negative,regulation,2.0,5.0,2.44511440000133,13,1
18,3005.1.jpg,negative,regulation,1.0,5.0,2.708381799999188,13,1
19,6350.jpg,negative,regulation,2.0,4.0,6.82488050000029,13,1
