trial,image,category,phase,valence,arousal,rating_rt,participant_id,session,,
0,9560.jpg,negative,baseline,1,3,10.0054878,16,1,1.578947368,8
8,9254.jpg,negative,baseline,1,8,4.886203,16,1,,
10,9910.jpg,negative,baseline,1,9,4.7151543,16,1,,
12,6540.jpg,negative,baseline,1,9,4.3553764,16,1,,
20,6520.jpg,negative,baseline,1,9,3.7922071,16,1,,
22,9413.jpg,negative,baseline,1,9,4.9843949,16,1,,
23,6570.jpg,negative,baseline,1,8,7.9507939,16,1,,
24,9921.jpg,negative,baseline,1,8,5.9180088,16,1,,
27,9901.jpg,negative,baseline,1,9,5.7729907,16,1,,
29,9940.jpg,negative,baseline,9,9,3.257281,16,1,,
30,9800.jpg,negative,baseline,1,8,7.6613231,16,1,,
31,6560.jpg,negative,baseline,1,9,4.1964176,16,1,,
32,9140.jpg,negative,baseline,1,9,3.2044628,16,1,,
33,9414.jpg,negative,baseline,1,9,3.2173644,16,1,,
37,6563.jpg,negative,baseline,1,9,3.4482694,16,1,,
47,9571.jpg,negative,baseline,1,8,3.3531077,16,1,,
50,9322.jpg,negative,baseline,1,8,4.6022814,16,1,,
55,9220.jpg,negative,baseline,4,3,4.1888439,16,1,,
59,9040.jpg,negative,baseline,1,8,3.9177091,16,1,,
0,9322.jpg,negative,regulation,3,6,8.6965649,16,1,3.3,5.7
1,9414.jpg,negative,regulation,5,2,9.9296194,16,1,,
2,9220.jpg,negative,regulation,5,2,7.7439977,16,1,,
3,6540.jpg,negative,regulation,5,6,6.8370608,16,1,,
4,9140.jpg,negative,regulation,4,3,8.1682704,16,1,,
5,9571.jpg,negative,regulation,4,0,10.0064787,16,1,,
6,9921.jpg,negative,regulation,4,6,5.2706058,16,1,,
7,6560.jpg,negative,regulation,3,7,4.3517359,16,1,,
8,9800.jpg,negative,regulation,4,6,5.2925832,16,1,,
9,6570.jpg,negative,regulation,4,7,4.7620341,16,1,,
10,9040.jpg,negative,regulation,1,7,3.4784246,16,1,,
11,9413.jpg,negative,regulation,4,5,4.2935403,16,1,,
12,6520.jpg,negative,regulation,4,7,3.6727376,16,1,,
13,6563.jpg,negative,regulation,4,7,4.4790121,16,1,,
14,9910.jpg,negative,regulation,3,8,6.2868082,16,1,,
15,9421.jpg,negative,regulation,3,7,5.7867473,16,1,,
16,9901.jpg,negative,regulation,2,7,6.4085101,16,1,,
17,9940.jpg,negative,regulation,2,7,4.4543626,16,1,,
18,9254.jpg,negative,regulation,1,7,5.6693103,16,1,,
19,9560.jpg,negative,regulation,1,7,5.7858724,16,1,,
1,7020.jpg,neutral,baseline,0,0,10.0042495,16,1,,
3,7161.jpg,neutral,baseline,5,3,6.9359401,16,1,,
4,7150.jpg,neutral,baseline,5,1,6.5546503,16,1,,
5,7484.jpg,neutral,baseline,7,7,4.9680593,16,1,,
6,7025.jpg,neutral,baseline,7,6,8.5388411,16,1,,
11,7247.jpg,neutral,baseline,5,1,6.8051067,16,1,,
14,8010.jpg,neutral,baseline,2,3,7.3935174,16,1,,
16,7035.jpg,neutral,baseline,6,1,10.007273,16,1,,
18,7050.jpg,neutral,baseline,5,1,3.0171713,16,1,,
19,9210.jpg,neutral,baseline,3,4,6.531353,16,1,,
39,7211.jpg,neutral,baseline,5,1,3.5071813,16,1,,
40,7041.jpg,neutral,baseline,5,2,4.350322,16,1,,
42,7175.jpg,neutral,baseline,6,1,6.2901633,16,1,,
44,7950.jpg,neutral,baseline,5,1,9.3724961,16,1,,
45,7037.jpg,neutral,baseline,5,2,9.0558444,16,1,,
46,7287.jpg,neutral,baseline,2,5,3.944764,16,1,,
48,7077.jpg,neutral,baseline,6,7,3.2276473,16,1,,
52,7179.jpg,neutral,baseline,5,1,4.939398,16,1,,
54,7186.jpg,neutral,baseline,6,1,3.5054506,16,1,,
56,7640.jpg,neutral,baseline,2,6,6.9338148,16,1,,
7,5833.jpg,positive,baseline,8,8,4.5179396,16,1,,
9,5780.jpg,positive,baseline,9,9,5.2631752,16,1,,
13,8370.jpg,positive,baseline,7,9,10.0057219,16,1,,
15,7502.jpg,positive,baseline,9,8,4.5294502,16,1,,
17,8190.jpg,positive,baseline,9,7,7.2706824,16,1,,
21,2550.jpg,positive,baseline,7,5,4.8254336,16,1,,
25,5910.jpg,positive,baseline,9,8,2.6922584,16,1,,
26,8170.jpg,positive,baseline,9,9,3.9862996,16,1,,
28,5831.jpg,positive,baseline,9,8,6.3010041,16,1,,
34,8501.jpg,positive,baseline,9,9,3.6305464,16,1,,
35,8200.jpg,positive,baseline,8,8,5.4725666,16,1,,
36,5825.jpg,positive,baseline,9,9,2.3557698,16,1,,
38,8420.jpg,positive,baseline,8,7,6.568515,16,1,,
41,5760.jpg,positive,baseline,8,7,4.4725754,16,1,,
43,5210.jpg,positive,baseline,9,8,3.1107491,16,1,,
49,7270.jpg,positive,baseline,8,7,5.6644227,16,1,,
51,5830.jpg,positive,baseline,9,2,5.2326781,16,1,,
53,8496.jpg,positive,baseline,7,7,3.609272,16,1,,
57,5700.jpg,positive,baseline,5,3,5.7220777,16,1,,
58,5600.jpg,positive,baseline,5,1,4.0125888,16,1,,
,,,,56,,,,,,
