trial,stimulus,target,response,rt,correct,n_back,block,participant_id,session,task
0,U,False,False,,True,0,0,19,1,N-back
1,H,False,False,,True,0,0,19,1,N-back
2,X,True,True,0.322955900002853,True,0,0,19,1,N-back
3,X,True,True,0.36436110000067856,True,0,0,19,1,N-back
4,R,False,False,,True,0,0,19,1,N-back
5,Q,False,False,,True,0,0,19,1,N-back
6,T,False,False,,True,0,0,19,1,N-back
7,U,False,False,,True,0,0,19,1,N-back
8,X,True,True,0.36800880001101177,True,0,0,19,1,N-back
9,X,True,True,0.3091906000045128,True,0,0,19,1,N-back
10,Y,False,False,,True,0,0,19,1,N-back
11,S,False,False,,True,0,0,19,1,N-back
12,X,True,True,0.40444749999733176,True,0,0,19,1,N-back
13,J,False,False,,True,0,0,19,1,N-back
14,C,False,False,,True,0,0,19,1,N-back
15,V,False,False,,True,0,0,19,1,N-back
16,U,False,False,,True,0,0,19,1,N-back
17,X,True,True,0.36926300000050105,True,0,0,19,1,N-back
18,T,False,False,,True,0,0,19,1,N-back
19,Z,False,False,,True,0,0,19,1,N-back
20,O,False,False,,True,0,0,19,1,N-back
21,P,False,False,,True,0,0,19,1,N-back
22,X,True,True,0.47371879999991506,True,0,0,19,1,N-back
23,X,True,True,0.48890309999114834,True,0,0,19,1,N-back
24,G,False,False,,True,0,0,19,1,N-back
25,X,True,True,0.42265799999586307,True,0,0,19,1,N-back
26,H,False,False,,True,0,0,19,1,N-back
27,E,False,False,,True,0,0,19,1,N-back
28,T,False,False,,True,0,0,19,1,N-back
29,G,False,False,,True,0,0,19,1,N-back
0,X,True,False,,False,0,1,19,1,N-back
1,M,False,True,0.40091820000088774,False,0,1,19,1,N-back
2,T,False,True,0.27434570000332315,False,0,1,19,1,N-back
3,X,True,True,0.47233720000076573,True,0,1,19,1,N-back
4,I,False,False,,True,0,1,19,1,N-back
5,Q,False,False,,True,0,1,19,1,N-back
6,G,False,False,,True,0,1,19,1,N-back
7,G,False,False,,True,0,1,19,1,N-back
8,M,False,False,,True,0,1,19,1,N-back
9,I,False,False,,True,0,1,19,1,N-back
10,Y,False,False,,True,0,1,19,1,N-back
11,C,False,False,,True,0,1,19,1,N-back
12,I,False,False,,True,0,1,19,1,N-back
13,V,False,False,,True,0,1,19,1,N-back
14,K,False,False,,True,0,1,19,1,N-back
15,I,False,False,,True,0,1,19,1,N-back
16,Y,False,False,,True,0,1,19,1,N-back
17,W,False,False,,True,0,1,19,1,N-back
18,X,True,False,,False,0,1,19,1,N-back
19,S,False,False,,True,0,1,19,1,N-back
20,B,False,False,,True,0,1,19,1,N-back
21,X,True,True,0.40097940000123344,True,0,1,19,1,N-back
22,F,False,False,,True,0,1,19,1,N-back
23,A,False,False,,True,0,1,19,1,N-back
24,X,True,True,0.40128430000913795,True,0,1,19,1,N-back
25,H,False,False,,True,0,1,19,1,N-back
26,X,True,True,0.3847591999947326,True,0,1,19,1,N-back
27,X,True,True,0.31019269999524113,True,0,1,19,1,N-back
28,Z,False,False,,True,0,1,19,1,N-back
29,Q,False,False,,True,0,1,19,1,N-back
0,Y,False,False,,True,1,0,19,1,N-back
1,K,False,False,,True,1,0,19,1,N-back
2,K,True,True,0.4562573000002885,True,1,0,19,1,N-back
3,M,False,False,,True,1,0,19,1,N-back
4,W,False,False,,True,1,0,19,1,N-back
5,G,False,False,,True,1,0,19,1,N-back
6,G,True,False,,False,1,0,19,1,N-back
7,S,False,False,,True,1,0,19,1,N-back
