trial,word,color,response,rt,correct,block
0,红,Blue,3,0.3762356999941403,True,0
1,蓝,Red,1,0.1785051999904681,True,0
2,绿,Blue,3,0.5500427000079071,True,0
3,蓝,Red,1,0.16253430000506341,True,0
4,绿,Green,2,0.23445709999941755,True,0
5,蓝,Red,1,0.32513810000091325,True,0
6,红,Red,1,0.5332357000006596,True,0
7,绿,Red,1,0.24202439999498893,True,0
8,绿,Blue,3,0.26572749999468215,True,0
9,绿,Blue,3,0.4521750999992946,True,0
10,白,Green,2,0.3500854000012623,True,0
11,白,Blue,3,0.1560962999938056,True,0
0,红,Green,2,0.2553951000008965,True,1
1,白,Green,2,0.06460379999771249,True,1
2,绿,Green,2,0.654134399999748,True,1
3,蓝,Red,3,0.1979804000002332,False,1
4,绿,Green,2,0.14083109999774024,True,1
5,白,Blue,3,0.022184299989021383,True,1
6,绿,Green,2,0.1510820999974385,True,1
7,红,Red,1,0.4132763000088744,True,1
8,白,Blue,3,0.5702535000018543,True,1
9,白,Red,1,0.38891619999776594,True,1
10,蓝,Green,2,0.3937261999963084,True,1
11,绿,Red,1,0.2327250000089407,True,1
0,白,Green,2,0.224716199998511,True,2
1,绿,Blue,3,0.20412509999005124,True,2
2,蓝,Red,1,0.1453892999998061,True,2
3,蓝,Red,1,0.18661540000175592,True,2
4,白,Red,1,0.08718560000124853,True,2
5,绿,Green,2,0.11541080000461079,True,2
6,绿,Blue,3,0.1636717000073986,True,2
7,蓝,Red,1,0.1501905000041006,True,2
8,绿,Blue,3,0.10754759999690577,True,2
9,蓝,Green,2,0.2821369000012055,True,2
10,绿,Red,1,0.6618903999915347,True,2
11,白,Green,2,0.15077190000738483,True,2
0,白,Red,1,0.21111410000594333,True,3
1,蓝,Red,1,0.19233160000294447,True,3
2,红,Green,2,0.09839189999911468,True,3
3,绿,Red,1,0.36438679999264423,True,3
4,蓝,Red,1,0.1368715999997221,True,3
5,红,Red,1,0.48358960000041407,True,3
6,红,Green,2,0.0668154000013601,True,3
7,白,Green,2,0.6253002000012202,True,3
8,蓝,Blue,3,0.46039760000712704,True,3
9,蓝,Blue,3,0.3863749000011012,True,3
10,白,Green,2,0.13733050000155345,True,3
11,红,Green,2,0.6538141000055475,True,3
0,绿,Red,1,0.15220919999410398,True,4
1,白,Green,2,0.05753629999526311,True,4
2,红,Green,2,0.4557319000014104,True,4
3,绿,Red,1,0.1304713000135962,True,4
4,蓝,Green,2,0.13001030001032632,True,4
5,蓝,Red,1,0.047925400009262376,True,4
6,绿,Red,1,0.13917100000253413,True,4
7,红,Green,2,0.007261300008394755,True,4
8,红,Green,2,0.3778613999893423,True,4
9,绿,Green,2,0.34740999998757616,True,4
10,绿,Red,1,0.34972309999284334,True,4
11,红,Green,2,0.07533119998697657,True,4
0,红,Red,1,0.20592110000143293,True,5
1,绿,Red,1,0.37256400000478607,True,5
2,绿,Green,2,0.08204530000512023,True,5
3,白,Red,1,0.10359879999305122,True,5
4,红,Red,1,0.06656429999566171,True,5
5,绿,Blue,3,0.13957400000072084,True,5
6,红,Green,2,0.3638353999995161,True,5
7,绿,Green,2,0.09457030000339728,True,5
8,白,Red,1,0.07878389999677893,True,5
9,白,Red,1,0.05500749999191612,True,5
10,绿,Green,2,0.037410600009025075,True,5
11,红,Red,1,0.02374479999707546,True,5
0,绿,Blue,3,0.15496060000441503,True,6
1,红,Red,1,0.47107810000306927,True,6
2,白,Blue,3,0.5792669000074966,True,6
3,绿,Red,1,0.5428922999999486,True,6
4,绿,Red,1,0.20363299999735318,True,6
5,红,Green,2,0.25878439999360126,True,6
6,红,Red,1,0.10746940001263283,True,6
7,绿,Red,1,0.13063970000075642,True,6
8,蓝,Blue,3,0.2451359999977285,True,6
9,蓝,Blue,3,0.021897099999478087,True,6
10,蓝,Green,2,0.4537574999994831,True,6
11,红,Red,1,0.30321479999111034,True,6
0,绿,Blue,3,0.16471610000007786,True,7
1,蓝,Red,1,0.09112679999088868,True,7
2,绿,Blue,3,0.08529239999188576,True,7
3,蓝,Blue,3,0.5756753000023309,True,7
4,红,Red,1,0.06202630000188947,True,7
5,白,Green,2,0.09473440000147093,True,7
6,红,Green,2,0.21409660000063013,True,7
7,白,Blue,3,0.19654760000412352,True,7
8,红,Blue,3,0.8635989999893354,True,7
9,蓝,Blue,3,0.4175185999920359,True,7
10,红,Red,1,0.09410839999327436,True,7
11,红,Blue,3,0.03154989999893587,True,7
